item_id,event_type,created_at
2362,question_shown,"2026-04-15 12:51:23"
1443,question_shown,"2026-04-15 12:51:23"
813,question_shown,"2026-04-15 12:51:23"
10025,question_shown,"2026-04-15 12:51:23"
10718,question_shown,"2026-04-15 12:51:23"
833,question_shown,"2026-04-15 12:51:23"
592,question_shown,"2026-04-15 12:51:23"
846,question_shown,"2026-04-15 12:51:23"
1953,question_shown,"2026-04-15 12:51:23"
10035,question_shown,"2026-04-15 12:51:23"
579,question_shown,"2026-04-15 12:51:23"
3398,question_shown,"2026-04-15 12:51:23"
821,question_shown,"2026-04-15 12:51:23"
2275,question_shown,"2026-04-15 12:51:22"
3284,question_shown,"2026-04-15 12:51:22"
3584,question_shown,"2026-04-15 12:51:22"
10718,question_shown,"2026-04-15 12:51:22"
10028,question_shown,"2026-04-15 12:51:22"
741,question_shown,"2026-04-15 12:51:22"
719,question_shown,"2026-04-15 12:51:22"
756,question_shown,"2026-04-15 12:51:22"
767,question_shown,"2026-04-15 12:51:22"
718,question_shown,"2026-04-15 12:51:22"
10685,question_shown,"2026-04-15 12:51:22"
3400,question_shown,"2026-04-15 12:51:22"
721,question_shown,"2026-04-15 12:51:22"
597,question_shown,"2026-04-15 12:51:22"
744,question_shown,"2026-04-15 12:51:22"
1040,question_shown,"2026-04-15 12:51:22"
10723,question_shown,"2026-04-15 12:51:22"
876,question_shown,"2026-04-15 12:51:22"
1850,question_shown,"2026-04-15 12:51:22"
650,question_shown,"2026-04-15 12:51:22"
3612,question_shown,"2026-04-15 12:51:22"
3365,question_shown,"2026-04-15 12:51:22"
1667,question_shown,"2026-04-15 12:51:22"
3339,question_shown,"2026-04-15 12:51:22"
3913,question_shown,"2026-04-15 12:51:22"
2561,question_shown,"2026-04-15 12:51:21"
2362,question_shown,"2026-04-15 12:51:21"
3365,question_shown,"2026-04-15 12:51:21"
3400,question_shown,"2026-04-15 12:51:21"
545,question_shown,"2026-04-15 12:51:21"
698,question_shown,"2026-04-15 12:51:21"
10011,question_shown,"2026-04-15 12:51:21"
550,question_shown,"2026-04-15 12:51:21"
638,question_shown,"2026-04-15 12:51:21"
577,question_shown,"2026-04-15 12:51:21"
616,question_shown,"2026-04-15 12:51:21"
602,question_shown,"2026-04-15 12:51:21"
3222,question_shown,"2026-04-15 12:51:21"
856,question_shown,"2026-04-15 12:51:21"
10607,question_shown,"2026-04-15 12:51:21"
1353,question_shown,"2026-04-15 12:51:21"
502,question_shown,"2026-04-15 12:51:21"
876,question_shown,"2026-04-15 12:51:21"
1743,question_shown,"2026-04-15 12:51:21"
3243,question_shown,"2026-04-15 12:51:21"
3366,question_shown,"2026-04-15 12:51:21"
2482,question_shown,"2026-04-15 12:51:21"
3994,question_shown,"2026-04-15 12:51:21"
3365,question_shown,"2026-04-15 12:51:21"
1977,question_shown,"2026-04-15 12:51:20"
2410,question_shown,"2026-04-15 12:51:20"
8757,question_shown,"2026-04-15 12:51:20"
1759,question_shown,"2026-04-15 12:51:20"
893,question_shown,"2026-04-15 12:51:20"
1716,question_shown,"2026-04-15 12:51:20"
10028,question_shown,"2026-04-15 12:51:20"
10025,question_shown,"2026-04-15 12:51:20"
3399,question_shown,"2026-04-15 12:51:20"
608,question_shown,"2026-04-15 12:51:20"
3233,question_shown,"2026-04-15 12:51:20"
3238,question_shown,"2026-04-15 12:51:20"
757,question_shown,"2026-04-15 12:51:20"
584,question_shown,"2026-04-15 12:51:20"
3197,question_shown,"2026-04-15 12:51:20"
3400,question_shown,"2026-04-15 12:51:20"
777,question_shown,"2026-04-15 12:51:20"
3225,question_shown,"2026-04-15 12:51:20"
961,question_shown,"2026-04-15 12:51:20"
10665,question_shown,"2026-04-15 12:51:20"
945,question_shown,"2026-04-15 12:51:20"
3913,question_shown,"2026-04-15 12:51:20"
10028,question_shown,"2026-04-15 12:51:20"
2610,question_shown,"2026-04-15 12:51:20"
1248,question_shown,"2026-04-15 12:51:20"
10041,question_shown,"2026-04-15 12:51:20"
10817,question_shown,"2026-04-15 12:51:20"
3901,question_shown,"2026-04-15 12:51:19"
1235,question_shown,"2026-04-15 12:51:19"
922,question_shown,"2026-04-15 12:51:19"
923,question_shown,"2026-04-15 12:51:19"
682,question_shown,"2026-04-15 12:51:19"
552,question_shown,"2026-04-15 12:51:19"
3205,question_shown,"2026-04-15 12:51:19"
748,question_shown,"2026-04-15 12:51:19"
2222,question_shown,"2026-04-15 12:51:19"
9997,question_shown,"2026-04-15 12:51:19"
680,question_shown,"2026-04-15 12:51:19"
574,question_shown,"2026-04-15 12:51:19"
571,question_shown,"2026-04-15 12:51:19"
826,question_shown,"2026-04-15 12:51:19"
10004,question_shown,"2026-04-15 12:51:19"
3906,question_shown,"2026-04-15 12:51:19"
457,question_shown,"2026-04-15 12:51:19"
1205,question_shown,"2026-04-15 12:51:19"
3510,question_shown,"2026-04-15 12:51:19"
763,question_shown,"2026-04-15 12:51:19"
3618,question_shown,"2026-04-15 12:51:19"
3633,question_shown,"2026-04-15 12:51:18"
647,question_shown,"2026-04-15 12:51:18"
10683,question_shown,"2026-04-15 12:51:18"
755,question_shown,"2026-04-15 12:51:18"
565,question_shown,"2026-04-15 12:51:18"
