lemma,ru_gloss,pos,freq_rank,bin_name,source
bem,хорошо,adverb,54,1K,pt_ru_seed_dictionary_prefill_v1
aqui,здесь,adverb,63,1K,pt_ru_seed_dictionary_prefill_v1
agora,сейчас,adverb,70,1K,pt_ru_seed_dictionary_prefill_v1
depois,потом,adverb,76,1K,pt_ru_seed_dictionary_prefill_v1
melhor,лучший,adjective,95,1K,pt_ru_seed_dictionary_prefill_v1
sempre,всегда,adverb,98,1K,pt_ru_seed_dictionary_prefill_v1
apenas,лишь,adverb,104,1K,pt_ru_seed_dictionary_prefill_v1
nunca,никогда,adverb,110,1K,pt_ru_seed_dictionary_prefill_v1
hoje,сегодня,adverb,117,1K,pt_ru_seed_dictionary_prefill_v1
ainda,ещё,adverb,120,1K,pt_ru_seed_dictionary_prefill_v1
antes,раньше,adverb,151,1K,pt_ru_seed_dictionary_prefill_v1
falar,говорить,verb,157,1K,pt_ru_seed_dictionary_prefill_v1
quase,почти,adverb,241,1K,pt_ru_seed_dictionary_prefill_v1
talvez,возможно,adverb,455,1K,pt_ru_seed_dictionary_prefill_v1
ontem,вчера,adverb,525,1K,pt_ru_seed_dictionary_prefill_v1
português,португальский,adjective,541,1K,pt_ru_seed_dictionary_prefill_v1
amanhã,завтра,adverb,548,1K,pt_ru_seed_dictionary_prefill_v1
longe,далеко,adverb,689,1K,pt_ru_seed_dictionary_prefill_v1
somente,только,adverb,706,1K,pt_ru_seed_dictionary_prefill_v1
abaixo,ниже,adverb,708,1K,pt_ru_seed_dictionary_prefill_v1
contar,рассказывать,verb,740,1K,pt_ru_seed_dictionary_prefill_v1
fora,снаружи,adverb,760,1K,pt_ru_seed_dictionary_prefill_v1
ali,там,adverb,820,1K,pt_ru_seed_dictionary_prefill_v1
dentro,внутри,adverb,870,1K,pt_ru_seed_dictionary_prefill_v1
perto,близко,adverb,980,1K,pt_ru_seed_dictionary_prefill_v1
inteiro,целый,adjective,1244,2K,pt_ru_seed_dictionary_prefill_v1
verdadeiro,истинный,adjective,1265,2K,pt_ru_seed_dictionary_prefill_v1
pronto,готовый,adjective,1294,2K,pt_ru_seed_dictionary_prefill_v1
feliz,счастливый,adjective,1300,2K,pt_ru_seed_dictionary_prefill_v1
francês,французский,adjective,1312,2K,pt_ru_seed_dictionary_prefill_v1
vermelho,красный,adjective,1346,2K,pt_ru_seed_dictionary_prefill_v1
alegre,весёлый,adjective,1519,2K,pt_ru_seed_dictionary_prefill_v1
pobre,бедный,adjective,1582,2K,pt_ru_seed_dictionary_prefill_v1
quente,горячий,adjective,1586,2K,pt_ru_seed_dictionary_prefill_v1
rico,богатый,adjective,1724,2K,pt_ru_seed_dictionary_prefill_v1
mau,плохой,adjective,1936,2K,pt_ru_seed_dictionary_prefill_v1
russo,русский,adjective,1947,2K,pt_ru_seed_dictionary_prefill_v1
depressa,быстро,adverb,2100,5K,pt_ru_seed_dictionary_prefill_v1
produzir,производить,verb,2112,5K,pt_ru_seed_dictionary_prefill_v1
frequentemente,часто,adverb,2200,5K,pt_ru_seed_dictionary_prefill_v1
raramente,редко,adverb,2300,5K,pt_ru_seed_dictionary_prefill_v1
alemão,немецкий,adjective,2348,5K,pt_ru_seed_dictionary_prefill_v1
difícil,трудный,adjective,2400,5K,pt_ru_seed_dictionary_prefill_v1
geralmente,обычно,adverb,2400,5K,pt_ru_seed_dictionary_prefill_v1
cedo,рано,adverb,2600,5K,pt_ru_seed_dictionary_prefill_v1
normalmente,обычно,adverb,2600,5K,pt_ru_seed_dictionary_prefill_v1
existir,существовать,verb,2723,5K,pt_ru_seed_dictionary_prefill_v1
especialmente,особенно,adverb,2800,5K,pt_ru_seed_dictionary_prefill_v1
novamente,снова,adverb,2820,5K,pt_ru_seed_dictionary_prefill_v1
finalmente,наконец,adverb,2910,5K,pt_ru_seed_dictionary_prefill_v1
atualmente,в настоящее время,adverb,2940,5K,pt_ru_seed_dictionary_prefill_v1
principalmente,главным образом,adverb,3000,5K,pt_ru_seed_dictionary_prefill_v1
exatamente,точно,adverb,3040,5K,pt_ru_seed_dictionary_prefill_v1
completamente,полностью,adverb,3070,5K,pt_ru_seed_dictionary_prefill_v1
infelizmente,к сожалению,adverb,3110,5K,pt_ru_seed_dictionary_prefill_v1
claramente,ясно,adverb,3200,5K,pt_ru_seed_dictionary_prefill_v1
obviamente,очевидно,adverb,3400,5K,pt_ru_seed_dictionary_prefill_v1
provavelmente,вероятно,adverb,3600,5K,pt_ru_seed_dictionary_prefill_v1
possivelmente,возможно,adverb,3800,5K,pt_ru_seed_dictionary_prefill_v1
rapidamente,быстро,adverb,4000,5K,pt_ru_seed_dictionary_prefill_v1
