attempt_id,position,item_id,lemma,correct_answer,selected_answer,is_correct,pos,topic_tag,bin_name,freq_rank,item_active,choice_count,flags,choices_preview
2,,268,conversa,разговор,,1,noun,build:pilot_ptpt_001_pilot_safe,2K,1006,1,6,pilot_safe_source,день рождения || остров || жена || девочка || разговор || левый
2,,1599,formiga,муравей,,1,noun,build:pilot_ptpt_001_enriched_qc,20K,10012,1,6,enriched_qc_source,бич || муравей || бездна || бисквит || игла || пот
2,,62,ver,видеть,,1,verb,build:pilot_ptpt_001_pilot_safe,1K,94,1,6,pilot_safe_source,оставаться || использовать || видеть || найти || сказать || помочь
2,,541,grau,градус,,1,noun,build:pilot_ptpt_001_pilot_safe,5K,2014,1,6,pilot_safe_source,ад || градус || спорт || гид || стена || декрет
2,,272,ilha,остров,,1,noun,build:pilot_ptpt_001_pilot_safe,2K,1012,1,6,pilot_safe_source,жена || остров || разговор || день рождения || левый || девочка
2,,1611,frustração,фрустрация,,1,noun,build:pilot_ptpt_001_enriched_qc,20K,10013,1,6,enriched_qc_source,фрустрация || дилемма || черепаха || директория || методология || муравей
2,,131,começar,начать,,1,verb,build:pilot_ptpt_001_pilot_safe,1K,501,1,6,pilot_safe_source,слушать || начать || покупать || пить || следовать || жить
2,,273,menina,девочка,,1,noun,build:pilot_ptpt_001_pilot_safe,2K,1015,1,6,pilot_safe_source,разговор || левый || жена || день рождения || остров || девочка
2,,1758,insistir,настаивать,,1,verb,build:pilot_ptpt_001_enriched_qc,20K,10022,1,6,enriched_qc_source,прыгать || восхищаться || топать || настаивать || считать || предпочесть
2,,57,dia,день,,1,noun,build:pilot_ptpt_001_pilot_safe,1K,51,1,6,short_answer|noun_short_answer|pilot_safe_source,день || градус || ад || стена || гид || обед
2,,591,alcançar,достичь,,1,verb,build:pilot_ptpt_001_pilot_safe,5K,2214,1,6,pilot_safe_source,писать || любить || понести || достичь || петь || мешать
2,,1607,fraude,афера,,1,noun,build:pilot_ptpt_001_enriched_qc,10K,5008,1,6,enriched_qc_source,долг || пёс || экспансия || экзамен || афера || снаряжение
